# STN,YYYYMMDD,DDVEC,FHVEC,   FG,  FHX, FHXH,  FHN, FHNH,  FXX, FXXH,   TG,   TN,  TNH,   TX,  TXH, T10N,T10NH,   SQ,   SP,    Q,   DR,   RH,  RHX, RHXH,   PG,   PX,  PXH,   PN,  PNH,  VVN, VVNH,  VVX, VVXH,   NG,   UG,   UX,  UXH,   UN,  UNH, EV24

  392,20250717,  297,   18,   21,   30,    8,    0,   24,  120,   15,  189,  125,    5,  249,   15,  126,    6,  144,     , 2796,    0,    0,    0,    1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,   72,   96,    2,   46,   14,   50
  392,20250718,   58,    8,   10,   20,   15,    0,    1,   40,   12,  207,  124,    4,  267,   17,  126,    6,  103,     , 2345,    0,    0,    0,    1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,   69,   99,    4,   41,   13,   43
  392,20250719,  133,   23,   32,   60,   12,   20,    1,  110,   18,  233,  158,    4,  308,   15,  146,    6,   71,     , 2022,    7,    6,    5,   19,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,   68,   94,    4,   36,   13,   39
  392,20250720,  176,   16,   23,   50,   11,   10,    3,  140,   15,  210,  152,   24,  287,   14,  146,   24,   33,     , 1535,   21,   42,   31,   16,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,   79,   98,   24,   42,   13,   28
  392,20250721,  186,   29,   33,   60,   10,   10,   21,  120,   15,  192,  153,    4,  258,   14,  143,    6,   75,     , 1881,   12,   25,   20,   15,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,   76,   93,    3,   46,   14,   34
  392,20250722,  248,   38,   42,   50,    9,   20,   21,  100,   11,  193,  159,    2,  243,   13,  152,    6,   69,     , 1848,    0,    0,    0,    1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,   73,   89,   23,   54,   12,   33
  392,20250723,  254,   25,   30,   40,    3,   10,   21,   80,    7,  184,  138,   24,  238,   14,  131,   24,   19,     , 1158,    0,    0,    0,    1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,   79,   97,   24,   61,   14,   20
  392,20250724,  329,    8,   13,   20,   11,   10,    1,   80,   17,  197,  124,    5,  258,   17,  122,    6,   69,     , 1885,    0,    0,    0,    1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,   75,   99,    4,   45,   18,   34
  392,20250725,  313,   21,   22,   50,   16,    0,   23,   80,   16,  187,  132,    4,  229,   13,  123,    6,   55,     , 1557,    5,    2,    2,   12,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,   86,   99,    3,   73,   13,   28
  392,20250726,  273,   15,   20,   40,   12,    0,    3,   70,   11,  206,  128,    4,  274,   12,  122,    6,   54,     , 1825,    0,    0,    0,    1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,   73,   99,    2,   46,   12,   34
  392,20250727,  312,   22,   26,   40,   14,   20,    2,   80,   14,  181,  154,   24,  226,   12,  147,   24,   22,     , 1281,   11,   15,   14,    1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,   78,   95,    3,   61,   11,   23
  392,20250728,  305,   26,   29,   60,   16,   10,   22,  110,   13,  168,  129,   24,  221,   15,  114,   24,   39,     , 1507,    7,   12,    7,   18,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,   80,   95,   24,   58,   12,   26
  392,20250729,  288,   14,   19,   30,   13,   10,    2,   60,   13,  175,  132,    1,  226,   15,  126,    6,   38,     , 1554,   11,   61,   58,    7,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,   76,   95,    7,   54,   15,   27
  392,20250730,  285,   26,   29,   60,   15,   10,    2,  120,   13,  178,  115,    4,  241,   13,  113,    6,   97,     , 2224,    0,    0,    0,    1,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,   68,   96,    4,   45,   17,   39
  392,20250731,  257,   30,   32,   60,   14,   20,    5,  110,   14,  180,  144,    5,  235,   12,  142,   24,   17,     , 1172,   13,   46,   25,   21,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,   82,   96,   21,   61,   12,   21
  392,20250801,  279,   28,   31,   50,   10,   20,    1,  100,   14,  166,  131,    4,  207,   12,  123,    6,   52,     , 1544,   18,   96,   42,   14,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,   85,   97,    1,   68,   16,   26
  392,20250802,  286,   30,   36,   50,   12,   20,    1,  100,   11,  163,  123,    3,  205,   14,  118,    6,   42,     , 1451,    5,   30,   26,   11,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,   83,   94,    1,   66,   15,   25
  392,20250803,  246,   40,   41,   60,   12,   20,    1,  120,   12,  186,  141,    1,  235,   13,  137,    6,   67,     , 1910,   15,    8,    5,   21,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,   71,   95,   23,   51,   13,   34
  392,20250804,  236,   41,   42,   60,   14,   20,    2,  160,   22,  211,  164,    2,  254,   14,  160,    6,   36,     , 1712,    3,    1,    1,   21,     ,     ,     ,     ,     ,     ,     ,     ,     ,     ,   75,   97,    2,   53,   16,   32
